"country","continent","year","lifeExp","pop","gdpPercap","pop_millions","GDP"
"Djibouti","Africa",1987,50.04,311025,2880.102568,0.311025,895783901.2122
"Djibouti","Africa",1992,51.604,384156,2377.156192,0.384156,913198814.093952
"Djibouti","Africa",1997,53.157,417908,1895.016984,0.417908,791942757.749472
"Djibouti","Africa",2002,53.373,447416,1908.260867,0.447416,853786444.069672
"Djibouti","Africa",2007,54.791,496374,2082.481567,0.496374,1033689705.33806
"Egypt","Africa",1952,41.893,22223309,1418.822445,22.223309,31530929611.3705
"Egypt","Africa",1957,44.444,25009741,1458.915272,25.009741,36487093093.6646
"Egypt","Africa",1962,46.992,28173309,1693.335853,28.173309,47706874227.3476
"Egypt","Africa",1967,49.293,31681188,1814.880728,31.681188,57497577541.3449
"Egypt","Africa",1972,51.137,34807417,2024.008147,34.807417,70450495584.0263
"Egypt","Africa",1977,53.319,38783863,2785.493582,38.783863,108032201471.667
"Egypt","Africa",1982,56.006,45681811,3503.729636,45.681811,160056715026.851
"Egypt","Africa",1987,59.797,52799062,3885.46071,52.799062,205148680925.854
"Egypt","Africa",1992,63.674,59402198,3794.755195,59.402198,225416799454.919
"Egypt","Africa",1997,67.217,66134291,4173.181797,66.134291,275990419358.701
"Egypt","Africa",2002,69.806,73312559,4754.604414,73.312559,348572216623.035
"Egypt","Africa",2007,71.338,80264543,5581.180998,80.264543,447970942204.754
"Equatorial Guinea","Africa",1952,34.482,216964,375.6431231,0.216964,81501034.5602684
"Equatorial Guinea","Africa",1957,35.983,232922,426.0964081,0.232922,99247227.5674682
"Equatorial Guinea","Africa",1962,37.485,249220,582.8419714,0.24922,145255876.112308
"Equatorial Guinea","Africa",1967,38.987,259864,915.5960025,0.259864,237930439.59366
"Equatorial Guinea","Africa",1972,40.516,277603,672.4122571,0.277603,186663659.807731
"Equatorial Guinea","Africa",1977,42.024,192675,958.5668124,0.192675,184691860.57917
"Equatorial Guinea","Africa",1982,43.662,285483,927.8253427,0.285483,264878362.310024
"Equatorial Guinea","Africa",1987,45.664,341244,966.8968149,0.341244,329947736.703736
"Equatorial Guinea","Africa",1992,47.545,387838,1132.055034,0.387838,439053960.276492
"Equatorial Guinea","Africa",1997,48.245,439971,2814.480755,0.439971,1238289912.25811
"Equatorial Guinea","Africa",2002,49.348,495627,7703.4959,0.495627,3818060562.4293
"Equatorial Guinea","Africa",2007,51.579,551201,12154.08975,0.551201,6699346424.28975
"Eritrea","Africa",1952,35.928,1438760,328.9405571,1.43876,473266515.933196
"Eritrea","Africa",1957,38.047,1542611,344.1618859,1.542611,530907910.970085
"Eritrea","Africa",1962,40.158,1666618,380.9958433,1.666618,634974530.368959
"Eritrea","Africa",1967,42.189,1820319,468.7949699,1.820319,853356390.813398
"Eritrea","Africa",1972,44.142,2260187,514.3242082,2.260187,1162468889.15893
"Eritrea","Africa",1977,44.535,2512642,505.7538077,2.512642,1270778258.88694
"Eritrea","Africa",1982,43.89,2637297,524.8758493,2.637297,1384253502.73134
"Eritrea","Africa",1987,46.453,2915959,521.1341333,2.915959,1519605766.20333
"Eritrea","Africa",1992,49.991,3668440,582.8585102,3.66844,2138181473.15809
"Eritrea","Africa",1997,53.378,4058319,913.47079,4.058319,3707155863.00201
"Eritrea","Africa",2002,55.24,4414865,765.3500015,4.414865,3378916934.3723
"Eritrea","Africa",2007,58.04,4906585,641.3695236,4.906585,3146934083.95291
"Ethiopia","Africa",1952,34.078,20860941,362.1462796,20.860941,7554712172.1051
"Ethiopia","Africa",1957,36.667,22815614,378.9041632,22.815614,8644931130.56421
"Ethiopia","Africa",1962,40.059,25145372,419.4564161,25.145372,10547387620.6213
"Ethiopia","Africa",1967,42.115,27860297,516.1186438,27.860297,14379218703.5052
"Ethiopia","Africa",1972,43.515,30770372,566.2439442,30.770372,17423536805.7812
"Ethiopia","Africa",1977,44.51,34617799,556.8083834,34.617799,19275480698.0561
"Ethiopia","Africa",1982,44.916,38111756,577.8607471,38.111756,22023287795.4529
"Ethiopia","Africa",1987,46.684,42999530,573.7413142,42.99953,24670606852.1823
"Ethiopia","Africa",1992,48.091,52088559,421.3534653,52.088559,21947694837.1335
"Ethiopia","Africa",1997,49.402,59861301,515.8894013,59.861301,30881810733.9291
"Ethiopia","Africa",2002,50.725,67946797,530.0535319,67.946797,36015439731.1423
"Ethiopia","Africa",2007,52.947,76511887,690.8055759,76.511887,52854838162.2307
"Gabon","Africa",1952,37.003,420702,4293.476475,0.420702,1806274139.98545
"Gabon","Africa",1957,38.999,434904,4976.198099,0.434904,2164168458.0475
"Gabon","Africa",1962,40.489,455661,6631.459222,0.455661,3021697340.55574
"Gabon","Africa",1967,44.598,489004,8358.761987,0.489004,4087468046.69095
"Gabon","Africa",1972,48.69,537977,11401.94841,0.537977,6133985999.76657
"Gabon","Africa",1977,52.79,706367,21745.57328,0.706367,15360355361.0738
"Gabon","Africa",1982,56.564,753874,15113.36194,0.753874,11393570619.1556
"Gabon","Africa",1987,60.19,880397,11864.40844,0.880397,10445389597.3507
"Gabon","Africa",1992,61.366,985739,13522.15752,0.985739,13329318031.6073
"Gabon","Africa",1997,60.461,1126189,14722.84188,1.126189,16580702573.9953
"Gabon","Africa",2002,56.761,1299304,12521.71392,1.299304,16269512983.1117
"Gabon","Africa",2007,56.735,1454867,13206.48452,1.454867,19213678514.1588
"Gambia","Africa",1952,30,284320,485.2306591,0.28432,137960780.995312
"Gambia","Africa",1957,32.065,323150,520.9267111,0.32315,168337466.691965
"Gambia","Africa",1962,33.896,374020,599.650276,0.37402,224281196.22952
"Gambia","Africa",1967,35.857,439593,734.7829124,0.439593,323005424.810653
"Gambia","Africa",1972,38.308,517101,756.0868363,0.517101,390973259.137566
"Gambia","Africa",1977,41.842,608274,884.7552507,0.608274,538173615.364292
"Gambia","Africa",1982,45.58,715523,835.8096108,0.715523,598041000.148448
"Gambia","Africa",1987,49.265,848406,611.6588611,0.848406,518935047.710407
"Gambia","Africa",1992,52.644,1025384,665.6244126,1.025384,682520622.689438
"Gambia","Africa",1997,55.861,1235767,653.7301704,1.235767,807858171.484697
"Gambia","Africa",2002,58.041,1457766,660.5855997,1.457766,962979227.33227
"Gambia","Africa",2007,59.448,1688359,752.7497265,1.688359,1270911775.48381
"Ghana","Africa",1952,43.149,5581001,911.2989371,5.581001,5085960279.25404
"Ghana","Africa",1957,44.779,6391288,1043.561537,6.391288,6669702328.68966
"Ghana","Africa",1962,46.452,7355248,1190.041118,7.355248,8753047553.08727
"Ghana","Africa",1967,48.072,8490213,1125.69716,8.490213,9557408661.89508
"Ghana","Africa",1972,49.875,9354120,1178.223708,9.35412,11021245951.477
"Ghana","Africa",1977,51.756,10538093,993.2239571,10.538093,10466686429.7478
"Ghana","Africa",1982,53.744,11400338,876.032569,11.400338,9987067385.60832
"Ghana","Africa",1987,55.729,14168101,847.0061135,14.168101,12000468163.6855
"Ghana","Africa",1992,57.501,16278738,925.060154,16.278738,15058811881.2057
"Ghana","Africa",1997,58.556,18418288,1005.245812,18.418288,18514906876.2099
"Ghana","Africa",2002,58.453,20550751,1111.984578,20.550751,22852118178.3181
"Ghana","Africa",2007,60.022,22873338,1327.60891,22.873338,30366847330.2416
"Guinea","Africa",1952,33.609,2664249,510.1964923,2.664249,1359290494.41378
"Guinea","Africa",1957,34.558,2876726,576.2670245,2.876726,1657762332.32179
"Guinea","Africa",1962,35.753,3140003,686.3736739,3.140003,2155215395.16702
"Guinea","Africa",1967,37.197,3451418,708.7595409,3.451418,2446225437.134
"Guinea","Africa",1972,38.842,3811387,741.6662307,3.811387,2826777030.02898
"Guinea","Africa",1977,40.762,4227026,874.6858643,4.227026,3697319890.22857
"Guinea","Africa",1982,42.891,4710497,857.2503577,4.710497,4038075238.19478
"Guinea","Africa",1987,45.552,5650262,805.5724718,5.650262,4551695525.65761
"Guinea","Africa",1992,48.576,6990574,794.3484384,6.990574,5552951540.41964
"Guinea","Africa",1997,51.455,8048834,869.4497668,8.048834,6998056844.31191
"Guinea","Africa",2002,53.676,8807818,945.5835837,8.807818,8328528109.01737
"Guinea","Africa",2007,56.007,9947814,942.6542111,9.947814,9377348758.33953
"Guinea-Bissau","Africa",1952,32.5,580653,299.850319,0.580653,174108987.278307
"Guinea-Bissau","Africa",1957,33.489,601095,431.7904566,0.601095,259547084.509977
"Guinea-Bissau","Africa",1962,34.488,627820,522.0343725,0.62782,327743619.74295
"Guinea-Bissau","Africa",1967,35.492,601287,715.5806402,0.601287,430269336.403937
"Guinea-Bissau","Africa",1972,36.486,625361,820.2245876,0.625361,512936468.326124
"Guinea-Bissau","Africa",1977,37.465,745228,764.7259628,0.745228,569895199.805518
"Guinea-Bissau","Africa",1982,39.327,825987,838.1239671,0.825987,692279501.213028
"Guinea-Bissau","Africa",1987,41.245,927524,736.4153921,0.927524,683042950.14216
"Guinea-Bissau","Africa",1992,43.266,1050938,745.5398706,1.050938,783516180.528623
"Guinea-Bissau","Africa",1997,44.873,1193708,796.6644681,1.193708,950984748.886715
"Guinea-Bissau","Africa",2002,45.504,1332459,575.7047176,1.332459,767102932.308578
"Guinea-Bissau","Africa",2007,46.388,1472041,579.231743,1.472041,852652874.197463
"Kenya","Africa",1952,42.27,6464046,853.540919,6.464046,5517327763.29827
"Kenya","Africa",1957,44.686,7454779,944.4383152,7.454779,7040578918.94834
"Kenya","Africa",1962,47.949,8678557,896.9663732,8.678557,7784373796.89947
"Kenya","Africa",1967,50.654,10191512,1056.736457,10.191512,10769742282.353
"Kenya","Africa",1972,53.559,12044785,1222.359968,12.044785,14723063007.1669
"Kenya","Africa",1977,56.155,14500404,1267.613204,14.500404,18380903573.7344
"Kenya","Africa",1982,58.766,17661452,1348.225791,17.661452,23811625092.9085
"Kenya","Africa",1987,59.339,21198082,1361.936856,21.198082,28870449152.3102
"Kenya","Africa",1992,59.285,25020539,1341.921721,25.020539,33575604755.2276
"Kenya","Africa",1997,54.407,28263827,1360.485021,28.263827,38452513269.6354
"Kenya","Africa",2002,50.992,31386842,1287.514732,31.386842,40411021465.9563
"Kenya","Africa",2007,54.11,35610177,1463.249282,35.610177,52106565927.1429
"Lesotho","Africa",1952,42.138,748747,298.8462121,0.748747,223760204.771239
"Lesotho","Africa",1957,45.047,813338,335.9971151,0.813338,273279221.601204
"Lesotho","Africa",1962,47.747,893143,411.8006266,0.893143,367796847.043404
"Lesotho","Africa",1967,48.492,996380,498.6390265,0.99638,496833953.22407
"Lesotho","Africa",1972,49.767,1116779,496.5815922,1.116779,554571893.955524
"Lesotho","Africa",1977,52.208,1251524,745.3695408,1.251524,932847869.180179
"Lesotho","Africa",1982,55.078,1411807,797.2631074,1.411807,1125581635.86907
"Lesotho","Africa",1987,57.18,1599200,773.9932141,1.5992,1237769947.98872
"Lesotho","Africa",1992,59.685,1803195,977.4862725,1.803195,1762598359.14064
"Lesotho","Africa",1997,55.558,1982823,1186.147994,1.982823,2351921523.90706
"Lesotho","Africa",2002,44.593,2046772,1275.184575,2.046772,2610012082.9419
"Lesotho","Africa",2007,42.592,2012649,1569.331442,2.012649,3158513357.40986
"Liberia","Africa",1952,38.48,863308,575.5729961,0.863308,496896772.117099
"Liberia","Africa",1957,39.486,975950,620.9699901,0.97595,606035661.838095
"Liberia","Africa",1962,40.502,1112796,634.1951625,1.112796,705729840.04935
"Liberia","Africa",1967,41.536,1279406,713.6036483,1.279406,912988789.25691
"Liberia","Africa",1972,42.614,1482628,803.0054535,1.482628,1190558369.5118
"Liberia","Africa",1977,43.764,1703617,640.3224383,1.703617,1090864191.36933
"Liberia","Africa",1982,44.852,1956875,572.1995694,1.956875,1119723032.36962
"Liberia","Africa",1987,46.027,2269414,506.1138573,2.269414,1148581873.35062
"Liberia","Africa",1992,40.802,1912974,636.6229191,1.912974,1217843092.0424
"Liberia","Africa",1997,42.221,2200725,609.1739508,2.200725,1340624342.87433
"Liberia","Africa",2002,43.753,2814651,531.4823679,2.814651,1495937378.2921
"Liberia","Africa",2007,45.678,3193942,414.5073415,3.193942,1323912407.32519
"Libya","Africa",1952,42.723,1019729,2387.54806,1.019729,2434651995.67574
"Libya","Africa",1957,45.289,1201578,3448.284395,1.201578,4143382666.77531
"Libya","Africa",1962,47.808,1441863,6757.030816,1.441863,9742712723.45021
"Libya","Africa",1967,50.227,1759224,18772.75169,1.759224,33025475319.0886
"Libya","Africa",1972,52.773,2183877,21011.49721,2.183877,45886525492.4832
"Libya","Africa",1977,57.442,2721783,21951.21176,2.721783,59746434997.7681
"Libya","Africa",1982,62.155,3344074,17364.27538,3.344074,58067421827.0981
"Libya","Africa",1987,66.234,3799845,11770.5898,3.799845,44726416798.581
"Libya","Africa",1992,68.755,4364501,9640.138501,4.364501,42074394127.753
"Libya","Africa",1997,71.555,4759670,9467.446056,4.75967,45061918969.3615
"Libya","Africa",2002,72.737,5368585,9534.677467,5.368585,51187726429.1742
"Libya","Africa",2007,73.952,6036914,12057.49928,6.036914,72790086208.4219
"Madagascar","Africa",1952,36.681,4762912,1443.011715,4.762912,6872937813.51408
"Madagascar","Africa",1957,38.865,5181679,1589.20275,5.181679,8234738516.41725
"Madagascar","Africa",1962,40.848,5703324,1643.38711,5.703324,9372769145.75364
"Madagascar","Africa",1967,42.881,6334556,1634.047282,6.334556,10350964014.4768
"Madagascar","Africa",1972,44.851,7082430,1748.562982,7.08243,12384074920.6063
"Madagascar","Africa",1977,46.881,8007166,1544.228586,8.007166,12364894630.0473
"Madagascar","Africa",1982,48.969,9171477,1302.878658,9.171477,11949321645.6379
"Madagascar","Africa",1987,49.35,10568642,1155.441948,10.568642,12211452300.1946
"Madagascar","Africa",1992,52.214,12210395,1040.67619,12.210395,12707067346.995
"Madagascar","Africa",1997,54.978,14165114,986.2958956,14.165114,13970993798.9061
"Madagascar","Africa",2002,57.286,16473477,894.6370822,16.473477,14737783396.9688
"Madagascar","Africa",2007,59.443,19167654,1044.770126,19.167654,20025792284.7044
"Malawi","Africa",1952,36.256,2917802,369.1650802,2.917802,1077150609.33772
"Malawi","Africa",1957,37.207,3221238,416.3698064,3.221238,1341226242.42832
"Malawi","Africa",1962,38.41,3628608,427.9010856,3.628608,1552685302.41684
"Malawi","Africa",1967,39.487,4147252,495.5147806,4.147252,2055024664.87291
"Malawi","Africa",1972,41.766,4730997,584.6219709,4.730997,2765844790.46199
"Malawi","Africa",1977,43.767,5637246,663.2236766,5.637246,3738755018.01864
